"country","indicator","year","total_value"
"Argentina","CO2 emissions",1995,72.6
"Argentina","CO2 emissions",1996,80.22
"Argentina","CO2 emissions",1997,84.36
"Argentina","CO2 emissions",1998,88.58
"Argentina","CO2 emissions",1999,89.85
"Argentina","CO2 emissions",2000,88.11
"Argentina","CO2 emissions",2001,84.17
"Argentina","CO2 emissions",2002,83.62
"Argentina","CO2 emissions",2003,92.83
"Argentina","CO2 emissions",2004,106.82
"Argentina","CO2 emissions",2005,107.45
"Argentina","CO2 emissions",2006,114.16
"Argentina","CO2 emissions",2007,116.95
"Argentina","CO2 emissions",2008,121.45
"Argentina","CO2 emissions",2009,113.6
"Argentina","CO2 emissions",2010,119.77
"Argentina","CO2 emissions",2011,127.8
"Argentina","CO2 emissions",2012,128.74
"Argentina","CO2 emissions",2013,130.7
"Argentina","CO2 emissions",2014,130.39
"Argentina","CO2 emissions",2015,134.47
"Argentina","CO2 emissions",2016,131.34
"Argentina","CO2 emissions",2017,129.07
"Argentina","CO2 emissions",2018,125.74
"Argentina","CO2 emissions intensities",1995,10149.82
"Argentina","CO2 emissions intensities",1996,10731.08
"Argentina","CO2 emissions intensities",1997,10850.07
"Argentina","CO2 emissions intensities",1998,10788.24
"Argentina","CO2 emissions intensities",1999,11143.42
"Argentina","CO2 emissions intensities",2000,10312.77
"Argentina","CO2 emissions intensities",2001,10707.31
"Argentina","CO2 emissions intensities",2002,22749.62
"Argentina","CO2 emissions intensities",2003,19769.67
"Argentina","CO2 emissions intensities",2004,18258.48
"Argentina","CO2 emissions intensities",2005,16985.22
"Argentina","CO2 emissions intensities",2006,15737.91
"Argentina","CO2 emissions intensities",2007,13284.59
"Argentina","CO2 emissions intensities",2008,11374.84
"Argentina","CO2 emissions intensities",2009,11989.98
"Argentina","CO2 emissions intensities",2010,10903.45
"Argentina","CO2 emissions intensities",2011,9952.71
"Argentina","CO2 emissions intensities",2012,9613.27
"Argentina","CO2 emissions intensities",2013,9614.83
"Argentina","CO2 emissions intensities",2014,10423.58
"Argentina","CO2 emissions intensities",2015,9867.33
"Argentina","CO2 emissions intensities",2016,9971.06
"Argentina","CO2 emissions intensities",2017,8209.44
"Argentina","CO2 emissions intensities",2018,8771.24
"Argentina","CO2 emissions multipliers",1995,16657.86
"Argentina","CO2 emissions multipliers",1996,17634.67
"Argentina","CO2 emissions multipliers",1997,17228.98
"Argentina","CO2 emissions multipliers",1998,17746.41
"Argentina","CO2 emissions multipliers",1999,18569.25
"Argentina","CO2 emissions multipliers",2000,17493.85
"Argentina","CO2 emissions multipliers",2001,17789.62
"Argentina","CO2 emissions multipliers",2002,41744.05
"Argentina","CO2 emissions multipliers",2003,36827.97
"Argentina","CO2 emissions multipliers",2004,36115.47
"Argentina","CO2 emissions multipliers",2005,30896.6
"Argentina","CO2 emissions multipliers",2006,28304.03
"Argentina","CO2 emissions multipliers",2007,23953.42
"Argentina","CO2 emissions multipliers",2008,20439.71
"Argentina","CO2 emissions multipliers",2009,21786.87
"Argentina","CO2 emissions multipliers",2010,19149.48
"Argentina","CO2 emissions multipliers",2011,17124.11
"Argentina","CO2 emissions multipliers",2012,16521.33
"Argentina","CO2 emissions multipliers",2013,16235.76
"Argentina","CO2 emissions multipliers",2014,17657.09
"Argentina","CO2 emissions multipliers",2015,16784.86
"Argentina","CO2 emissions multipliers",2016,17670.7
"Argentina","CO2 emissions multipliers",2017,14698.63
"Argentina","CO2 emissions multipliers",2018,16000.92
"Australia","CO2 emissions",1995,249.19
"Australia","CO2 emissions",1996,259.18
"Australia","CO2 emissions",1997,268.45
"Australia","CO2 emissions",1998,286.92
"Australia","CO2 emissions",1999,292.43
"Australia","CO2 emissions",2000,301.95
"Australia","CO2 emissions",2001,309.6
"Australia","CO2 emissions",2002,316.0
"Australia","CO2 emissions",2003,315.71
"Australia","CO2 emissions",2004,328.49
"Australia","CO2 emissions",2005,334.3
"Australia","CO2 emissions",2006,342.55
"Australia","CO2 emissions",2007,352.14
"Australia","CO2 emissions",2008,354.54
"Australia","CO2 emissions",2009,363.66
"Australia","CO2 emissions",2010,354.72
"Australia","CO2 emissions",2011,351.53
"Australia","CO2 emissions",2012,354.46
"Australia","CO2 emissions",2013,347.97
"Australia","CO2 emissions",2014,337.44
"Australia","CO2 emissions",2015,340.47
"Australia","CO2 emissions",2016,349.52
"Australia","CO2 emissions",2017,354.73
"Australia","CO2 emissions",2018,351.12
"Australia","CO2 emissions intensities",1995,20505.17
"Australia","CO2 emissions intensities",1996,19696.48
"Australia","CO2 emissions intensities",1997,19042.69
"Australia","CO2 emissions intensities",1998,21686.04
"Australia","CO2 emissions intensities",1999,22075.38
"Australia","CO2 emissions intensities",2000,21782.91
"Australia","CO2 emissions intensities",2001,23828.94
"Australia","CO2 emissions intensities",2002,23280.54
"Australia","CO2 emissions intensities",2003,19884.63
"Australia","CO2 emissions intensities",2004,16658.73
"Australia","CO2 emissions intensities",2005,14678.95
"Australia","CO2 emissions intensities",2006,14111.03
"Australia","CO2 emissions intensities",2007,12619.99
"Australia","CO2 emissions intensities",2008,11326.92
"Australia","CO2 emissions intensities",2009,11228.45
"Australia","CO2 emissions intensities",2010,9955.77
"Australia","CO2 emissions intensities",2011,7770.64
"Australia","CO2 emissions intensities",2012,6946.8
"Australia","CO2 emissions intensities",2013,6993.21
"Australia","CO2 emissions intensities",2014,7442.64
"Australia","CO2 emissions intensities",2015,8588.36
"Australia","CO2 emissions intensities",2016,9258.4
"Australia","CO2 emissions intensities",2017,8620.24
"Australia","CO2 emissions intensities",2018,8455.72
"Australia","CO2 emissions multipliers",1995,39514.12
"Australia","CO2 emissions multipliers",1996,37807.73
"Australia","CO2 emissions multipliers",1997,36769.32
"Australia","CO2 emissions multipliers",1998,42224.12
"Australia","CO2 emissions multipliers",1999,43596.23
"Australia","CO2 emissions multipliers",2000,43293.13
"Australia","CO2 emissions multipliers",2001,47540.88
"Australia","CO2 emissions multipliers",2002,47799.82
"Australia","CO2 emissions multipliers",2003,40605.32
"Australia","CO2 emissions multipliers",2004,33353.39
"Australia","CO2 emissions multipliers",2005,29111.04
"Australia","CO2 emissions multipliers",2006,27922.97
"Australia","CO2 emissions multipliers",2007,24503.39
"Australia","CO2 emissions multipliers",2008,21599.37
"Australia","CO2 emissions multipliers",2009,22684.88
"Australia","CO2 emissions multipliers",2010,19527.98
"Australia","CO2 emissions multipliers",2011,15558.01
"Australia","CO2 emissions multipliers",2012,14330.02
"Australia","CO2 emissions multipliers",2013,14385.21
"Australia","CO2 emissions multipliers",2014,15010.23
"Australia","CO2 emissions multipliers",2015,17093.96
"Australia","CO2 emissions multipliers",2016,18577.76
"Australia","CO2 emissions multipliers",2017,17500.33
"Australia","CO2 emissions multipliers",2018,16921.21
"Austria","CO2 emissions",1995,42.46
"Austria","CO2 emissions",1996,44.18
"Austria","CO2 emissions",1997,45.81
"Austria","CO2 emissions",1998,45.44
"Austria","CO2 emissions",1999,44.79
"Austria","CO2 emissions",2000,44.64
"Austria","CO2 emissions",2001,48.07
"Austria","CO2 emissions",2002,48.56
"Austria","CO2 emissions",2003,52.66
"Austria","CO2 emissions",2004,55.02
"Austria","CO2 emissions",2005,54.54
"Austria","CO2 emissions",2006,53.89
"Austria","CO2 emissions",2007,51.96
"Austria","CO2 emissions",2008,51.29
"Austria","CO2 emissions",2009,45.88
"Austria","CO2 emissions",2010,50.25
"Austria","CO2 emissions",2011,50.56
"Austria","CO2 emissions",2012,47.7
"Austria","CO2 emissions",2013,47.01
"Austria","CO2 emissions",2014,44.79
"Austria","CO2 emissions",2015,45.17
"Austria","CO2 emissions",2016,45.23
"Austria","CO2 emissions",2017,48.09
"Austria","CO2 emissions",2018,45.33
"Austria","CO2 emissions intensities",1995,10098.23
"Austria","CO2 emissions intensities",1996,9245.0
"Austria","CO2 emissions intensities",1997,10432.83
"Austria","CO2 emissions intensities",1998,10940.75
"Austria","CO2 emissions intensities",1999,10494.07
"Austria","CO2 emissions intensities",2000,10143.08
"Austria","CO2 emissions intensities",2001,10488.17
"Austria","CO2 emissions intensities",2002,9736.69
"Austria","CO2 emissions intensities",2003,8762.11
"Austria","CO2 emissions intensities",2004,9418.6
"Austria","CO2 emissions intensities",2005,7901.3
"Austria","CO2 emissions intensities",2006,6903.05
"Austria","CO2 emissions intensities",2007,5795.81
"Austria","CO2 emissions intensities",2008,4209.83
"Austria","CO2 emissions intensities",2009,4239.8
"Austria","CO2 emissions intensities",2010,4515.55
"Austria","CO2 emissions intensities",2011,4015.41
"Austria","CO2 emissions intensities",2012,4373.89
"Austria","CO2 emissions intensities",2013,4485.22
"Austria","CO2 emissions intensities",2014,4373.72
"Austria","CO2 emissions intensities",2015,5241.38
"Austria","CO2 emissions intensities",2016,5477.79
"Austria","CO2 emissions intensities",2017,5467.19
"Austria","CO2 emissions intensities",2018,4719.83
"Austria","CO2 emissions multipliers",1995,14188.02
"Austria","CO2 emissions multipliers",1996,13354.01
"Austria","CO2 emissions multipliers",1997,14921.2
"Austria","CO2 emissions multipliers",1998,15587.79
"Austria","CO2 emissions multipliers",1999,14934.89
"Austria","CO2 emissions multipliers",2000,14818.84
"Austria","CO2 emissions multipliers",2001,15418.64
"Austria","CO2 emissions multipliers",2002,14105.16
"Austria","CO2 emissions multipliers",2003,12826.61
"Austria","CO2 emissions multipliers",2004,12949.85
"Austria","CO2 emissions multipliers",2005,11208.89
"Austria","CO2 emissions multipliers",2006,9895.84
"Austria","CO2 emissions multipliers",2007,8245.19
"Austria","CO2 emissions multipliers",2008,6537.06
"Austria","CO2 emissions multipliers",2009,6641.67
"Austria","CO2 emissions multipliers",2010,6814.7
"Austria","CO2 emissions multipliers",2011,6035.02
"Austria","CO2 emissions multipliers",2012,6384.37
"Austria","CO2 emissions multipliers",2013,6429.2
"Austria","CO2 emissions multipliers",2014,6138.68
"Austria","CO2 emissions multipliers",2015,7236.19
"Austria","CO2 emissions multipliers",2016,7461.36
"Austria","CO2 emissions multipliers",2017,7478.52
"Austria","CO2 emissions multipliers",2018,6454.74
"Belgium","CO2 emissions",1995,83.68
"Belgium","CO2 emissions",1996,86.42
"Belgium","CO2 emissions",1997,85.91
"Belgium","CO2 emissions",1998,89.06
"Belgium","CO2 emissions",1999,85.86
"Belgium","CO2 emissions",2000,89.19
"Belgium","CO2 emissions",2001,90.03
"Belgium","CO2 emissions",2002,85.32
"Belgium","CO2 emissions",2003,88.22
"Belgium","CO2 emissions",2004,87.74
"Belgium","CO2 emissions",2005,86.61
"Belgium","CO2 emissions",2006,88.53
"Belgium","CO2 emissions",2007,87.82
"Belgium","CO2 emissions",2008,86.41
"Belgium","CO2 emissions",2009,78.17
"Belgium","CO2 emissions",2010,83.16
"Belgium","CO2 emissions",2011,77.11
"Belgium","CO2 emissions",2012,74.13
"Belgium","CO2 emissions",2013,71.07
"Belgium","CO2 emissions",2014,67.7
"Belgium","CO2 emissions",2015,70.95
"Belgium","CO2 emissions",2016,71.9
"Belgium","CO2 emissions",2017,71.53
"Belgium","CO2 emissions",2018,73.27
"Belgium","CO2 emissions intensities",1995,9256.46
"Belgium","CO2 emissions intensities",1996,9525.41
"Belgium","CO2 emissions intensities",1997,10811.04
"Belgium","CO2 emissions intensities",1998,11319.56
"Belgium","CO2 emissions intensities",1999,11259.58
"Belgium","CO2 emissions intensities",2000,12450.68
"Belgium","CO2 emissions intensities",2001,12603.93
"Belgium","CO2 emissions intensities",2002,12598.5
"Belgium","CO2 emissions intensities",2003,10712.94
"Belgium","CO2 emissions intensities",2004,8640.69
"Belgium","CO2 emissions intensities",2005,7967.33
"Belgium","CO2 emissions intensities",2006,7628.67
"Belgium","CO2 emissions intensities",2007,6775.11
"Belgium","CO2 emissions intensities",2008,5587.63
"Belgium","CO2 emissions intensities",2009,6187.45
"Belgium","CO2 emissions intensities",2010,6422.52
"Belgium","CO2 emissions intensities",2011,5389.72
"Belgium","CO2 emissions intensities",2012,5626.48
"Belgium","CO2 emissions intensities",2013,6116.68
"Belgium","CO2 emissions intensities",2014,5941.71
"Belgium","CO2 emissions intensities",2015,7324.64
"Belgium","CO2 emissions intensities",2016,7515.58
"Belgium","CO2 emissions intensities",2017,7252.78
"Belgium","CO2 emissions intensities",2018,6672.38
"Belgium","CO2 emissions multipliers",1995,13946.54
"Belgium","CO2 emissions multipliers",1996,14450.75
"Belgium","CO2 emissions multipliers",1997,16110.62
"Belgium","CO2 emissions multipliers",1998,16832.75
"Belgium","CO2 emissions multipliers",1999,16689.98
"Belgium","CO2 emissions multipliers",2000,18129.67
"Belgium","CO2 emissions multipliers",2001,18701.83
"Belgium","CO2 emissions multipliers",2002,17984.57
"Belgium","CO2 emissions multipliers",2003,15067.21
"Belgium","CO2 emissions multipliers",2004,12324.76
"Belgium","CO2 emissions multipliers",2005,11410.02
"Belgium","CO2 emissions multipliers",2006,10867.73
"Belgium","CO2 emissions multipliers",2007,9537.17
"Belgium","CO2 emissions multipliers",2008,7951.62
"Belgium","CO2 emissions multipliers",2009,8728.31
"Belgium","CO2 emissions multipliers",2010,8793.59
"Belgium","CO2 emissions multipliers",2011,7327.8
"Belgium","CO2 emissions multipliers",2012,7627.46
"Belgium","CO2 emissions multipliers",2013,8084.76
"Belgium","CO2 emissions multipliers",2014,7715.73
"Belgium","CO2 emissions multipliers",2015,9634.7
"Belgium","CO2 emissions multipliers",2016,9624.69
"Belgium","CO2 emissions multipliers",2017,9176.04
"Belgium","CO2 emissions multipliers",2018,8569.84
"Brazil","CO2 emissions",1995,164.55
"Brazil","CO2 emissions",1996,176.33
"Brazil","CO2 emissions",1997,185.36
"Brazil","CO2 emissions",1998,188.03
"Brazil","CO2 emissions",1999,198.67
"Brazil","CO2 emissions",2000,220.3
"Brazil","CO2 emissions",2001,226.14
"Brazil","CO2 emissions",2002,229.75
"Brazil","CO2 emissions",2003,231.19
"Brazil","CO2 emissions",2004,244.93
"Brazil","CO2 emissions",2005,247.51
"Brazil","CO2 emissions",2006,249.13
"Brazil","CO2 emissions",2007,263.87
"Brazil","CO2 emissions",2008,284.07
"Brazil","CO2 emissions",2009,257.54
"Brazil","CO2 emissions",2010,298.05
"Brazil","CO2 emissions",2011,304.09
