"year","age_group","ghe_cause","avg_mean_value","avg_age_standardized_rate"
2010,"0 to 4 years","Acute Lower Respiratory Infections",3983616.78,328.6
2011,"0 to 4 years","Acute Lower Respiratory Infections",3794105.32,308.97
2012,"0 to 4 years","Acute Lower Respiratory Infections",3677649.81,296.41
2013,"0 to 4 years","Acute Lower Respiratory Infections",3474994.28,277.24
2014,"0 to 4 years","Acute Lower Respiratory Infections",3291986.32,259.66
2015,"0 to 4 years","Acute Lower Respiratory Infections",3093207.69,242.68
2016,"0 to 4 years","Acute Lower Respiratory Infections",2988685.84,232.04
2017,"0 to 4 years","Acute Lower Respiratory Infections",2878292.98,221.28
2018,"0 to 4 years","Acute Lower Respiratory Infections",2755013.91,209.67
2019,"0 to 4 years","Acute Lower Respiratory Infections",2573443.58,195.5
2010,"10 to 14 years","Acute Lower Respiratory Infections",64968.68,6.18
2011,"10 to 14 years","Acute Lower Respiratory Infections",64379.27,6.09
2012,"10 to 14 years","Acute Lower Respiratory Infections",64263.41,6.06
2013,"10 to 14 years","Acute Lower Respiratory Infections",64067.21,6.03
2014,"10 to 14 years","Acute Lower Respiratory Infections",62924.0,5.85
2015,"10 to 14 years","Acute Lower Respiratory Infections",62222.14,5.67
2018,"10 to 14 years","Acute Lower Respiratory Infections",61811.18,5.38
2016,"10 to 14 years","Acute Lower Respiratory Infections",60500.56,5.41
2019,"10 to 14 years","Acute Lower Respiratory Infections",60439.22,5.16
2017,"10 to 14 years","Acute Lower Respiratory Infections",59702.44,5.28
2010,"15 to 19 years","Acute Lower Respiratory Infections",35998.21,3.6
2011,"15 to 19 years","Acute Lower Respiratory Infections",35354.69,3.55
2012,"15 to 19 years","Acute Lower Respiratory Infections",34538.8,3.48
2013,"15 to 19 years","Acute Lower Respiratory Infections",34403.4,3.44
2014,"15 to 19 years","Acute Lower Respiratory Infections",33168.69,3.29
2015,"15 to 19 years","Acute Lower Respiratory Infections",32323.58,3.21
2016,"15 to 19 years","Acute Lower Respiratory Infections",31449.74,3.13
2018,"15 to 19 years","Acute Lower Respiratory Infections",31232.04,3.02
2017,"15 to 19 years","Acute Lower Respiratory Infections",30614.23,3.03
2019,"15 to 19 years","Acute Lower Respiratory Infections",30582.09,2.92
2010,"20 to 24 years","Acute Lower Respiratory Infections",37484.5,3.79
2011,"20 to 24 years","Acute Lower Respiratory Infections",36338.54,3.65
2012,"20 to 24 years","Acute Lower Respiratory Infections",35258.21,3.53
2013,"20 to 24 years","Acute Lower Respiratory Infections",34676.96,3.47
2014,"20 to 24 years","Acute Lower Respiratory Infections",32639.67,3.3
2015,"20 to 24 years","Acute Lower Respiratory Infections",31879.22,3.22
2018,"20 to 24 years","Acute Lower Respiratory Infections",31710.65,3.11
2016,"20 to 24 years","Acute Lower Respiratory Infections",31696.4,3.19
2017,"20 to 24 years","Acute Lower Respiratory Infections",31232.65,3.11
2019,"20 to 24 years","Acute Lower Respiratory Infections",31223.31,3.02
2010,"25 to 29 years","Ischaemic Heart Disease",69478.13,6.54
2011,"25 to 29 years","Ischaemic Heart Disease",69466.39,6.43
2013,"25 to 29 years","Ischaemic Heart Disease",67813.56,6.11
2012,"25 to 29 years","Ischaemic Heart Disease",67350.85,6.17
2014,"25 to 29 years","Ischaemic Heart Disease",63604.01,5.74
2015,"25 to 29 years","Ischaemic Heart Disease",60786.24,5.48
