Geo group,Geo group member,Year,Sex,Age group,GHE Cause,Mean value,Mean lower value,Mean upper value,Mean value [95% CI],Age-standardized rate,Age-standardized rate lower value,Age-standardized rate upper value,Age-standardized rate [95% CI]
Global,Global,2019,Female,80 years and over,Ischaemic Heart Disease,3754455.101,2376158.562,4937101.031,3 754 455 [2 376 159 - 4 937 101],66.656,42.186,87.653,66.66 [42.19 - 87.65]
Global,Global,2019,Female,80 years and over,Stroke,1874842.94,916167.438,2991277.09,1 874 843 [916 167 - 2 991 277],33.286,16.266,53.107,33.29 [16.27 - 53.11]
Global,Global,2019,Female,80 years and over,Chronic Obstructive Pulmonary Disease,1343674.332,512598.396,2581443.504,1 343 674 [512 598 - 2 581 444],23.855,9.101,45.831,23.86 [9.10 - 45.83]
Global,Global,2019,Female,80 years and over,Acute Lower Respiratory Infections,742133.717,425112.754,1115637.243,742 134 [425 113 - 1 115 637],13.176,7.547,19.807,13.18 [7.55 - 19.81]
Global,Global,2019,Female,80 years and over,Lung Cancer,125979.162,72999.421,193489.417,125 979 [72 999 - 193 489],2.237,1.296,3.435,2.24 [1.30 - 3.44]
Global,Global,2019,Female,75 to 79 years,Ischaemic Heart Disease,1838599.567,1187889.782,2398061.324,1 838 600 [1 187 890 - 2 398 061],42.075,27.184,54.878,42.08 [27.18 - 54.88]
Global,Global,2019,Female,75 to 79 years,Stroke,1171878.027,586854.017,1845538.698,1 171 878 [586 854 - 1 845 539],26.817,13.43,42.234,26.82 [13.43 - 42.23]
Global,Global,2019,Female,75 to 79 years,Chronic Obstructive Pulmonary Disease,776205.13,302778.319,1472640.909,776 205 [302 778 - 1 472 641],17.763,6.929,33.7,17.76 [6.93 - 33.70]
Global,Global,2019,Female,75 to 79 years,Acute Lower Respiratory Infections,357518.792,218632.586,516044.168,357 519 [218 633 - 516 044],8.182,5.003,11.809,8.18 [5.00 - 11.81]
Global,Global,2019,Female,75 to 79 years,Lung Cancer,124054.04,72464.178,189258.283,124 054 [72 464 - 189 258],2.839,1.658,4.331,2.84 [1.66 - 4.33]
Global,Global,2019,Female,70 to 74 years,Ischaemic Heart Disease,1934628.216,1259691.547,2514317.134,1 934 628 [1 259 692 - 2 514 317],44.667,29.084,58.051,44.67 [29.08 - 58.05]
Global,Global,2019,Female,70 to 74 years,Stroke,1283081.236,647464.431,2013581.282,1 283 081 [647 464 - 2 013 581],29.624,14.949,46.49,29.62 [14.95 - 46.49]
Global,Global,2019,Female,70 to 74 years,Chronic Obstructive Pulmonary Disease,845771.256,331438.442,1601824.042,845 771 [331 438 - 1 601 824],19.527,7.652,36.983,19.53 [7.65 - 36.98]
Global,Global,2019,Female,70 to 74 years,Acute Lower Respiratory Infections,400779.319,251234.063,570812.336,400 779 [251 234 - 570 812],9.253,5.801,13.179,9.25 [5.80 - 13.18]
Global,Global,2019,Female,70 to 74 years,Lung Cancer,179826.434,105096.043,274165.426,179 826 [105 096 - 274 165],4.152,2.426,6.33,4.15 [2.43 - 6.33]
Global,Global,2019,Female,65 to 69 years,Ischaemic Heart Disease,2012175.793,1317502.314,2609800.592,2 012 176 [1 317 502 - 2 609 801],44.178,28.927,57.3,44.18 [28.93 - 57.30]
Global,Global,2019,Female,65 to 69 years,Stroke,1329261.704,674709.221,2080726.36,1 329 262 [674 709 - 2 080 726],29.185,14.814,45.683,29.19 [14.81 - 45.68]
Global,Global,2019,Female,65 to 69 years,Chronic Obstructive Pulmonary Disease,772058.136,303478.728,1460071.039,772 058 [303 479 - 1 460 071],16.951,6.663,32.057,16.95 [6.66 - 32.06]
Global,Global,2019,Female,65 to 69 years,Acute Lower Respiratory Infections,380244.502,240414.475,539130.575,380 245 [240 414 - 539 131],8.348,5.278,11.837,8.35 [5.28 - 11.84]
Global,Global,2019,Female,65 to 69 years,Lung Cancer,228210.256,134157.698,346009.848,228 210 [134 158 - 346 010],5.011,2.946,7.597,5.01 [2.95 - 7.60]
Global,Global,2019,Female,60 to 64 years,Ischaemic Heart Disease,1703118.431,1118815.428,2206313.615,1 703 118 [1 118 815 - 2 206 314],39.566,25.992,51.256,39.57 [25.99 - 51.26]
Global,Global,2019,Female,60 to 64 years,Stroke,1094524.909,555135.316,1716720.51,1 094 525 [555 135 - 1 716 721],25.427,12.896,39.882,25.43 [12.90 - 39.88]
Global,Global,2019,Female,60 to 64 years,Chronic Obstructive Pulmonary Disease,594228.259,232288.391,1128010.902,594 228 [232 288 - 1 128 011],13.805,5.396,26.205,13.81 [5.40 - 26.21]
Global,Global,2019,Female,60 to 64 years,Acute Lower Respiratory Infections,317772.697,197946.821,454413.999,317 773 [197 947 - 454 414],7.382,4.599,10.557,7.38 [4.60 - 10.56]
Global,Global,2019,Female,60 to 64 years,Lung Cancer,207420.663,121413.509,315704.558,207 421 [121 414 - 315 705],4.819,2.821,7.334,4.82 [2.82 - 7.33]
Global,Global,2019,Female,55 to 59 years,Ischaemic Heart Disease,1367503.845,902670.072,1767714.057,1 367 504 [902 670 - 1 767 714],32.926,21.734,42.562,32.93 [21.73 - 42.56]
Global,Global,2019,Female,55 to 59 years,Stroke,865140.757,437921.98,1358720.807,865 141 [437 922 - 1 358 721],20.831,10.544,32.715,20.83 [10.54 - 32.72]
Global,Global,2019,Female,55 to 59 years,Chronic Obstructive Pulmonary Disease,412072.87,159664.162,785098.836,412 073 [159 664 - 785 099],9.922,3.844,18.903,9.92 [3.84 - 18.90]
